Patent_code,ID1,ID2,ID3,ID4,ID5,ID6,ID7
A01J5/013,C9894,C10306,,,,,
A01J11/00,C5828,C12791,C10306,,,,
A01J11/02,C5828,C10306,C6466,,,,
A01J11/04,C10306,C518,C4813,,,,
A01J11/06,C15256,C6251,C10306,,,,
A01J11/08,C15256,C6251,C10306,C7865,,,
A01J11/10,C14364,C10306,C4381,,,,
A01J11/12,C4381,C5828,C14364,,,,
A01J11/14,C4381,C5828,C10306,C14364,,,
A01J11/16,C10306,C7879,,,,,
A01J13/00,C15693,C4381,C12791,,,,
A01J15/00,C2604,,,,,,
A01J15/02,C2604,C5828,C1847,C3660,,,
A01J15/04,C2604,C5828,C3660,,,,
A01J15/06,C2604,C5828,C1847,C3660,,,
A01J15/08,C2604,C5828,C3660,,,,
A01J15/10,C2604,C5828,,,,,
A01J15/12,C2604,C5828,C4170,,,,
A01J15/14,C2604,C5828,C3660,,,,
A01J15/16,C2604,C5828,,,,,
A01J15/18,C2604,C5828,C4813,,,,
A01J15/20,C2604,C5828,,,,,
A01J15/22,C2604,C5828,,,,,
A01J15/24,C2604,C5828,,,,,
A01J15/25,C2604,C5828,C3660,,,,
A01J15/26,C2604,C3660,C8865,C14364,,,
A01J15/28,C2604,C5828,,,,,
A01J17/00,C2604,C5828,C8865,,,,
A01J19/00,C2604,C14435,C5828,,,,
A01J21/00,C2604,C14435,C5828,,,,
A01J21/02,C2604,C14435,C6053,C11475,,,
A01J23/00,C2604,C4588,,,,,
A01J25/00,C3383,,,,,,
A01J25/02,C3383,C4164,,,,,
A01J25/04,C3383,C4164,C3778,,,,
A01J25/06,C3383,C4588,C3368,,,,
A01J25/08,C3383,C4164,C3365,C14364,,,
A01J25/10,C3383,C4164,C17075,C14364,,,
A01J25/11,C3383,C3368,C17075,C14364,,,
A01J25/12,C3383,C3365,C14435,,,,
A01J25/13,C3383,C3365,C193332,C10558,,,
A01J25/15,C3383,C3365,C12740,C12741,,,
A01J25/16,C3383,C3365,C13716,,,,
A01J27/00,C3383,C3365,C3878,,,,
A01J27/02,C3383,C3365,C3878,,,,
A01J27/04,C3383,C3365,C3878,,,,
A01K43/00,C5513,C14861,C3778,,,,
A01K43/04,C5513,C7357,,,,,
A01K43/06,C5513,C7357,C14615,,,,
A01K43/08,C5513,C7357,C17205,,,,
A01K43/10,C5513,C7357,C8956,,,,
A01K59/00,C7893,C7674,C188615,,,,
A01K59/02,C7889,C5828,,,,,
A01K59/04,C7893,C15256,,,,,
A01K59/06,C6048,C5828,C1880,,,,
A21B1/00,C1737,,,,,,
A21B1/02,C1737,,,,,,
A21B1/04,C1737,,,,,,
A21B1/06,C1737,,,,,,
A21B1/08,C1737,C15156,,,,,
A21B1/10,C1737,,,,,,
A21B1/14,C1737,,,,,,
A21B1/22,C1737,,,,,,
A21B1/24,C1737,,,,,,
A21B1/26,C1737,C623,,,,,
A21B1/28,C1737,,,,,,
A21B1/33,C1737,,,,,,
A21B1/36,C1737,C6430,,,,,
A21B1/40,C1737,C15787,C12787,,,,
A21B1/42,C1737,C15544,,,,,
A21B1/44,C1737,C15544,,,,,
A21B1/46,C1737,C15544,C4183,,,,
A21B1/48,C1737,C15544,,,,,
A21B1/50,C1737,C15544,,,,,
A21B1/52,C1737,,,,,,
A21B2/00,C1737,C188697,,,,,
A21B3/00,C11399,,,,,,
A21B3/02,C11399,,,,,,
A21B3/04,C11399,C7990,C623,,,,
A21B3/07,C11399,,,,,,
A21B3/10,C11399,C9335,,,,,
A21B3/13,C1735,C4164,,,,,
A21B3/15,C1735,,,,,,
A21B3/16,C1735,C15544,C3778,,,,
A21B3/18,C1734,C4164,,,,,
A21B5/00,C1735,C5828,,,,,
A21B5/02,C1735,C5828,C1734,,,,
A21B5/03,C1735,C5828,C11558,,,,
A21B5/04,C1735,C5828,C2686,,,,
A21B5/06,C1735,C12753,C5828,,,,
A21B5/08,C1735,C5828,C5329,,,,
A21B7/00,C1735,C1727,C5828,,,,
A21C1/00,C10383,C8865,C5326,C5828,,,
A21C1/02,C5326,C5828,C17084,C1847,,,
A21C1/04,C5326,C10381,,,,,
A21C1/06,C5326,C5828,C10383,C8865,C10381,,
A21C1/08,C5326,C5828,C10383,C8865,,,
A21C1/10,C5326,C5828,C518,,,,
A21C1/12,C5326,C5828,C7359,,,,
A21C1/14,C5828,C10383,C8865,C10381,,,
A21C3/00,C5326,C5828,C14435,,,,
A21C3/02,C5326,C13760,C5828,,,,
A21C3/04,C5326,C6053,,,,,
A21C3/06,C5326,C5828,C14435,C13763,,,
A21C3/08,C5326,C5828,C14435,C12753,,,
A21C3/10,C5326,C5828,C4588,,,,
A21C5/00,C5326,C5828,C4588,,,,
A21C5/02,C5326,C5828,C4588,,,,
A21C5/04,C5326,C5828,C4588,,,,
A21C5/06,C5326,C5828,C4588,,,,
A21C5/08,C5326,C5828,C4588,,,,
A21C7/00,C5326,C5828,C7879,,,,
A21C7/01,C5326,C5828,C7879,,,,
A21C7/02,C5326,C5828,C7879,C10558,,,
A21C7/04,C5326,C5828,C7879,C10558,,,
A21C7/06,C5326,C5828,C7879,C4588,,,
A21C9/00,C5326,C5828,C7650,,,,
A21C9/02,C5326,C5828,,,,,
A21C9/04,C5326,C5828,C3878,,,,
A21C9/06,C5326,C6243,C5329,,,,
A21C9/08,C5326,C4183,C4944,,,,
A21C11/00,C5326,C12794,C14435,,,,
A21C11/02,C5326,C12794,C4853,C14435,,,
A21C11/04,C5326,C12794,C4588,C4853,C13760,,
A21C11/06,C5326,C5828,C7650,,,,
A21C11/08,C5326,C193332,,C4853,,,
A21C11/10,C5326,C12794,C14435,C4588,,,
A21C11/12,C5326,C12794,C4588,,,,
A21C11/14,C5326,C12794,C14435,,,,
A21C11/16,C5326,C6053,,,,,
A21C11/18,C5326,C6053,,,,,
A21C11/20,C5326,C6053,,,,,
A21C11/22,C5326,C12794,C13760,C4588,C14435,C11018,
A21C11/24,C5326,C12794,C4588,C11018,C13760,,
A21C13/00,C5326,C12794,C12836,,,,
A21C13/02,C5326,C12794,C12836,C4183,,,
A21C14/00,C5326,C12794,,,,,
A21C15/00,C1734,C5828,C7650,,,,
A21C15/02,C16941,C12794,C14435,,,,
A21C15/04,C1734,C12794,C14645,,,,
A21D2/00,C3291,C1730,,,,,
A21D2/02,C3291,C1730,C8345,,,,
A21D2/04,C3291,C1730,C11434,,,,
A21D2/06,C3291,C1730,C13439,,,,
A21D2/08,C3291,C1730,C11306,,,,
A21D2/10,C3291,C1730,C8019,,,,
A21D2/12,C3291,C1730,C8019,C7629,,,
A21D2/14,C3291,C1730,C11306,C11434,,,
A21D2/16,C3291,C1730,C6123,,,,
A21D2/18,C3291,C1730,C2976,,,,
A21D2/20,C3291,C1730,C11965,,,,
A21D2/22,C3291,C1730,C1397,,,,
A21D2/24,C3291,C1730,C11311,,,,
A21D2/26,C3291,C12928,,,,,
A21D2/28,C3291,C1730,C188228,,,,
A21D2/30,C3291,C1730,C11306,C11455,,,
A21D2/32,C3291,C1730,C12106,,,,
A21D2/34,C3291,C1041,,,,,
A21D2/36,C3291,C12358,,,,,
A21D2/38,C3291,C7036,C3294,C7046,C12357,,
A21D2/40,C3291,C5828,C1730,,,,
A21D4/00,C3291,C12733,C4177,,,,
A21D6/00,C3291,C12791,,,,,
A21D8/00,C5326,C1735,,,,,
A21D8/02,C5326,C12791,,,,,
A21D8/04,C5326,C10268,C5780,,,,
A21D8/06,C5326,C1735,,,,,
A21D8/08,C5326,C12791,C15208,,,,
A21D8/10,C5326,C12791,C15208,C12699,,,
A21D10/00,C3291,,,,,,
A21D10/02,C5326,,,,,,
A21D10/04,C1823,,,,,,
A21D13/00,C1734,,,,,,
A21D13/02,C1734,C17130,C2350,,,,
A21D13/04,C1734,,,,,,
A21D13/043,C1734,C16492,C9933,,,,
A21D13/045,C1734,C9224,,,,,
A21D13/047,C1734,C3289,,,,,
A21D13/06,C1734,C11090,,,,,
A21D13/062,C1734,C15417,C15443,,,,
A21D13/064,C1734,C12928,,,,,
A21D13/066,C1734,C7238,,,,,
A21D13/068,C1734,C6111,C6114,,,,
A21D13/10,C1734,C15357,,,,,
A21D13/11,C5326,C15357,,,,,
A21D13/13,C5326,C15357,C3879,,,,
A21D13/14,C5326,C15357,C1731,,,,
A21D13/16,C11679,C15357,,,,,
A21D13/17,C11679,C15357,C3879,,,,
A21D13/19,C11679,C15357,C1731,,,,
A21D13/20,C1734,C3879,,,,,
A21D13/22,C1734,C3878,C3879,,,,
A21D13/24,C1734,C3878,C3879,,,,
A21D13/26,C1734,C3879,C1806,,,,
A21D13/28,C1734,C3879,,,,,
A21D13/30,C1734,C1731,,,,,
A21D13/31,C1734,C1731,C6245,,,,
A21D13/32,C1734,C6247,C6245,,,,
A21D13/33,C1734,C5474,,,,,
A21D13/34,C1734,C6247,C1806,,,,
A21D13/36,C16941,C1731,,,,,
A21D13/37,C1734,C75105,C3928,C1731,,,
A21D13/38,C1734,C6247,C4062,,,,
A21D13/40,C1734,,,,,,
A21D13/41,C12344,,,,,,
A21D13/42,C16194,,,,,,
A21D13/43,C6334,,,,,,
A21D13/44,C11558,C4406,,,,,
A21D13/45,C16941,,,,,,
A21D13/46,C4447,,,,,,
A21D13/47,C1734,C4853,,,,,
A21D13/48,C1734,,,,,,
A21D13/50,C1734,C6470,C14808,,,,
A21D13/60,C1734,C4857,C6644,,,,
A21D13/80,C1734,,,,,,
A21D15/00,C1734,C12733,,,,,
A21D15/02,C1734,C12733,C4198,,,,
A21D15/04,C1734,C12733,C7726,,,,
A21D15/06,C1734,C12733,C8486,,,,
A21D15/08,C1734,C12733,C3878,,,,
A21D17/00,C1734,C12791,C6635,,,,
A22B1/00,C14636,C14637,C5828,,,,
A22B3/00,C15366,,,,,,
A22B3/02,C15366,C5828,,,,,
A22B3/04,C15366,C5828,C14637,,,,
A22B3/06,C5563,,,,,,
A22B3/08,C14636,C1052,C5828,,,,
A22B3/10,C14636,C8866,,,,,
A22B3/12,C14636,C5828,C8902,,,,
A22B5/00,C14636,C5828,,,,,
A22B5/02,C14636,,,,,,
A22B5/04,C14636,C5828,C2209,,,,
A22B5/06,C14636,C5828,C3168,,,,
A22B5/08,C12794,C1038,,,,,
A22B5/10,C14636,C5828,,,,,
A22B5/12,C14184,C8797,,,,,
A22B5/14,C14636,C5828,,,,,
A22B5/16,C14631,C8866,,,,,
A22B5/18,C15235,C3778,,,,,
A22B5/20,C15004,C12794,C3011,,,,
A22B7/00,C14640,,,,,,
A22C5/00,C10381,C1041,,,,,
A22C7/00,C12794,C1041,,,,,
A22C9/00,C12794,C15798,C9938,,,,
A22C11/00,C14170,C12791,,,,,
A22C11/02,C14170,C12794,,,,,
A22C11/04,C14170,C12794,,,,,
A22C11/06,C14170,C12794,,C9463,C6916,,
A22C11/08,C14170,C12740,,,,,
A22C11/10,C14170,C12794,,,,,
A22C11/12,C14165,C12794,,,,,
A22C13/00,C14165,,,,,,
A22C13/02,C14165,C12791,,,,,
A22C15/00,C1041,C5828,,,,,
A22C17/00,C12794,C9938,C2270,,,,
A22C17/02,C12794,C9938,C2270,C4588,,,
A22C17/04,C12794,C3778,C2270,,,,
A22C17/06,C12794,C2270,,,,,
A22C17/08,C12794,C3778,C1041,,,,
A22C17/10,C12794,C9866,C1041,,,,
A22C17/12,C12794,C4588,C9938,,,,
A22C17/14,C12794,C4588,C8415,,,,
A22C17/16,C12794,C3778,C8415,,,,
A22C18/00,C9948,,,,,,
A22C21/00,C12687,C12791,,,,,
A22C21/02,C12687,C4865,,,,,
A22C21/04,C12687,C4865,,,,,
A22C21/06,C12687,C6007,C12794,,,,
A22C25/00,C6275,C12791,,,,,
A22C25/02,C6275,C16966,C14187,,,,
A22C25/04,C6275,C14861,C14364,C8157,,,
A22C25/06,C6275,C12791,C15544,,,,
A22C25/08,C6275,C5828,,,,,
A22C25/10,C6275,C12794,,,,,
A22C25/12,C6275,C12791,,,,,
A22C25/14,C6275,C12791,,,,,
A22C25/16,C6277,C12791,,,,,
A22C25/17,C6275,C14631,,,,,
A22C25/18,C6275,C12638,,,,,
A22C25/20,C6275,C12791,,,,,
A22C25/22,C6275,C13760,C12794,,,,
A22C29/00,C14464,C12791,,,,,
A22C29/02,C4464,C12791,,,,,
A22C29/04,C2149,C12791,,,,,
A23B4/00,C12733,C1041,,,,,
A23B4/005,C12733,C1041,C7726,,,,
A23B4/01,C12733,C1041,C7726,,,,
A23B4/015,C12733,C1041,,,,,
A23B4/02,C12733,C1041,C8345,C14052,C14051,,
A23B4/023,C12733,C1041,C14042,C14051,,,
A23B4/027,C12733,C1041,C8345,C14052,C14051,,
A23B4/03,C12733,C1041,C5395,,,,
A23B4/033,C12733,C1041,C474,C5395,,,
A23B4/037,C12733,C1041,C6616,,,,
A23B4/044,C14677,C1041,,,,,
